YEAR,CHEESE,MILK FOR CONSUMPTION,CREAM FOR CONSUMPTION,YOGURT AND FRESH MILK PRODUCTS,PRESERVED MILK,BUTTER,OTHER OR EVAPORATION,FULL FAT MILK FOR FEEDING
2024,1536.422,373.777,279.609,238.256,298.114,518.499,119.86,367.5096149
2024,204.315,431.34,65.949,288.466,44.436,42.308,,
2023,1502.147,372.788,280.402,230.389,335.875,510.002,131.208,405.6834457
2023,197.26,430.97,66.785,282.842,49.775,42.093,,
2022,1569.488,381.812,283.19,230.631,332.315,460.792,124.734,357.7937656
2022,201.939,438.158,67.114,279.063,50.491,37.71,,
2021,1620.069,394.898,279.071,227.612,328.472,483.991,100.194,401.8
2021,207.155,444.571,66.014,274.288,47.348,39.7,,
2020,1594.202,415.737,278.266,228.029,307.991,491.509,120.654,370.3770042
2020,203.791,479.087,66.534,273.699375,44.492,41.325,,
2019,1540.947,405.405,277.517,217.1,356.543,523.957,109.802,388.1205716
2019,195.114,461.661,66.73,262.795,52.059,42.725,,
2018,1519.594,416.614,280.933,218.579,379.814,542.593,130.301,452.3501235
2018,191.321,471.909,67.608,262.618,51.813,44.265,,
2017,1501.527,420.258,283.93,210.984,370.509,516.547,166.257,448.373911
2017,189.292,476.525,68.155,255.475,46.258,42.617,,
2016,1448.432,426.65,282.87,213.78,374.27,549.09,176.88,512
2016,184.904,489.223,68.814,260.611,49.585,47.61,,
2015,1492.618,434.3,289.49,217.43,358.38,559.48,176.47,543.11
2015,188.807345,497.368,70.461,267.025,50.452795,46.844,,
2014,1506.938,451.559,281.12,221.865,381.021,572.467,171.562,503.0033734
2014,184.617626,518.340952,69.375575,270.051661,57.009741,48.557095,,
2013,1486.341,460.784,286.42,220.125,326.734,539.606,160.601,546.298701
2013,182.022569,533.546533,71.092985,267.094062,48.10067,47.01513,,
2012,1481.445,465.721,279.488,210.294,367.1,588.398,132.385,583.7734615
2012,180.462736,536.43142,69.933932,262.422012,56.075,50.64447,,
2011,1459.368,476.91,279.259,205.498,364.813,583.73,163.395,610.8819463
2011,180.838234,548.809766,69.962763,258.976364,56.34,49.072445,,
2010,1469.441,492.867,279.259,205.498,364.813,583.73,163.395,597.758252
2010,180.466314,564.568625,68.35232,262.537566,57.214,48.577614,,
2009,1447,513,262,214,368,572,127,600
2009,178,579,68,269,,48,,
2008,1460,532,259,225,361,551,129,580
2008,179,581,68,275,,43,,
2007,1446,548,261,211,306,452,137,647
2007,176,589,67,258,,35,,
2006,1421,546,251,204,289,464,126,655
2006,173,594,65,169,,37,,
2005,1372,546,251,202,310,481,140,655
2005,168,591,64,170,,39,,
2004,1342,554,247,191,320,494,163,625
2004,162,601,64,137,,41,,
2003,1315,556,247,186,334,496,143,629
2003,160,602,64,136,,40,,
2002,1319,559,263,167,350,506,152,636
2002,160,611,68,125,,42,,
2001,1441,559,259,164,317,465,128,626
2001,172,642,68,,,38,,
2000,1428,551,252,182,327,459,87,590
2000,167,651,68,,,37,,
